percentile,fy,baseline,high_inflation,no_policy,indexed_brackets
0.052,FY2030_31,0,0,0,0
0.052,FY2031_32,0,0,0,0
0.052,FY2032_33,0,0,0,0
0.052,FY2033_34,0,0,0,0
0.052,FY2034_35,0,0,0,0
0.053,FY2025_26,0,0,0,0
0.053,FY2026_27,0,0,0,0
0.053,FY2027_28,0,0,0,0
0.053,FY2028_29,0,0,0,0
0.053,FY2029_30,0,0,0,0
0.053,FY2030_31,0,0,0,0
0.053,FY2031_32,0,0,0,0
0.053,FY2032_33,0,0,0,0
0.053,FY2033_34,0,0,0,0
0.053,FY2034_35,0,0,0,0
0.054,FY2025_26,0,0,0,0
0.054,FY2026_27,0,0,0,0
0.054,FY2027_28,0,0,0,0
0.054,FY2028_29,0,0,0,0
0.054,FY2029_30,0,0,0,0
0.054,FY2030_31,0,0,0,0
0.054,FY2031_32,0,0,0,0
0.054,FY2032_33,0,0,0,0
0.054,FY2033_34,0,0,0,0
0.054,FY2034_35,0,0,0,0
0.055,FY2025_26,0,0,0,0
0.055,FY2026_27,0,0,0,0
0.055,FY2027_28,0,0,0,0
0.055,FY2028_29,0,0,0,0
0.055,FY2029_30,0,0,0,0
0.055,FY2030_31,0,0,0,0
0.055,FY2031_32,0,0,0,0
0.055,FY2032_33,0,0,0,0
0.055,FY2033_34,0,0,0,0
0.055,FY2034_35,0,0,0,0
0.056,FY2025_26,0,0,0,0
0.056,FY2026_27,0,0,0,0
0.056,FY2027_28,0,0,0,0
0.056,FY2028_29,0,0,0,0
0.056,FY2029_30,0,0,0,0
0.056,FY2030_31,0,0,0,0
0.056,FY2031_32,0,0,0,0
0.056,FY2032_33,0,0,0,0
0.056,FY2033_34,0,0,0,0
0.056,FY2034_35,0,0,0,0
0.057,FY2025_26,0,0,0,0
0.057,FY2026_27,0,0,0,0
0.057,FY2027_28,0,0,0,0
0.057,FY2028_29,0,0,0,0
0.057,FY2029_30,0,0,0,0
0.057,FY2030_31,0,0,0,0
0.057,FY2031_32,0,0,0,0
0.057,FY2032_33,0,0,0,0
0.057,FY2033_34,0,0,0,0
0.057,FY2034_35,0,0,0,0
0.058,FY2025_26,0,0,0,0
0.058,FY2026_27,0,0,0,0
0.058,FY2027_28,0,0,0,0
0.058,FY2028_29,0,0,0,0
0.058,FY2029_30,0,0,0,0
0.058,FY2030_31,0,0,0,0
0.058,FY2031_32,0,0,0,0
0.058,FY2032_33,0,0,0,0
0.058,FY2033_34,0,0,0,0
0.058,FY2034_35,0,0,0,0
0.059,FY2025_26,0,0,0,0
0.059,FY2026_27,0,0,0,0
0.059,FY2027_28,0,0,0,0
0.059,FY2028_29,0,0,0,0
0.059,FY2029_30,0,0,0,0
0.059,FY2030_31,0,0,0,0
0.059,FY2031_32,0,0,0,0
0.059,FY2032_33,0,0,0,0
0.059,FY2033_34,0,0,0,0
0.059,FY2034_35,0,0,0,0
0.06,FY2025_26,0,0,0,0
0.06,FY2026_27,0,0,0,0
0.06,FY2027_28,0,0,0,0
0.06,FY2028_29,0,0,0,0
0.06,FY2029_30,0,0,0,0
0.06,FY2030_31,0,0,0,0
0.06,FY2031_32,0,0,0,0
0.06,FY2032_33,0,0,0,0
0.06,FY2033_34,0,0,0,0
0.06,FY2034_35,0,0,0,0
0.061,FY2025_26,0,0,0,0
0.061,FY2026_27,0,0,0,0
0.061,FY2027_28,0,0,0,0
0.061,FY2028_29,0,0,0,0
0.061,FY2029_30,0,0,0,0
0.061,FY2030_31,0,0,0,0
0.061,FY2031_32,0,0,0,0
0.061,FY2032_33,0,0,0,0
0.061,FY2033_34,0,0,0,0
0.061,FY2034_35,0,0,0,0
0.062,FY2025_26,0,0,0,0
0.062,FY2026_27,0,0,0,0
0.062,FY2027_28,0,0,0,0
0.062,FY2028_29,0,0,0,0
0.062,FY2029_30,0,0,0,0
0.062,FY2030_31,0,0,0,0
0.062,FY2031_32,0,0,0,0
0.062,FY2032_33,0,0,0,0
0.062,FY2033_34,0,0,0,0
0.062,FY2034_35,0,0,0,0
0.063,FY2025_26,0,0,0,0
0.063,FY2026_27,0,0,0,0
0.063,FY2027_28,0,0,0,0
0.063,FY2028_29,0,0,0,0
0.063,FY2029_30,0,0,0,0
0.063,FY2030_31,0,0,0,0
0.063,FY2031_32,0,0,0,0
0.063,FY2032_33,0,0,0,0
0.063,FY2033_34,0,0,0,0
0.063,FY2034_35,0,0,0,0
0.064,FY2025_26,0,0,0,0
0.064,FY2026_27,0,0,0,0
0.064,FY2027_28,0,0,0,0
0.064,FY2028_29,0,0,0,0
0.064,FY2029_30,0,0,0,0
0.064,FY2030_31,0,0,0,0
0.064,FY2031_32,0,0,0,0
0.064,FY2032_33,0,0,0,0
0.064,FY2033_34,0,0,0,0
0.064,FY2034_35,0,0,0,0
0.065,FY2025_26,0,0,0,0
0.065,FY2026_27,0,0,0,0
0.065,FY2027_28,0,0,0,0
0.065,FY2028_29,0,0,0,0
0.065,FY2029_30,0,0,0,0
0.065,FY2030_31,0,0,0,0
0.065,FY2031_32,0,0,0,0
0.065,FY2032_33,0,0,0,0
0.065,FY2033_34,0,0,0,0
0.065,FY2034_35,0,0,0,0
0.066,FY2025_26,0,0,0,0
0.066,FY2026_27,0,0,0,0
0.066,FY2027_28,0,0,0,0
0.066,FY2028_29,0,0,0,0
0.066,FY2029_30,0,0,0,0
0.066,FY2030_31,0,0,0,0
0.066,FY2031_32,0,0,0,0
0.066,FY2032_33,0,0,0,0
0.066,FY2033_34,0,0,0,0
0.066,FY2034_35,0,0,0,0
0.067,FY2025_26,0,0,0,0
0.067,FY2026_27,0,0,0,0
0.067,FY2027_28,0,0,0,0
0.067,FY2028_29,0,0,0,0
