year,model,model_label,value,path_type
2045,arimax_diff,ARIMAX (differences),0.352816870213059,Official forecast then model projection
2046,arimax_diff,ARIMAX (differences),0.353450828951707,Official forecast then model projection
2047,arimax_diff,ARIMAX (differences),0.354084787690353,Official forecast then model projection
2048,arimax_diff,ARIMAX (differences),0.354718746429001,Official forecast then model projection
2049,arimax_diff,ARIMAX (differences),0.355352705167647,Official forecast then model projection
2050,arimax_diff,ARIMAX (differences),0.355986663906295,Official forecast then model projection
2051,arimax_diff,ARIMAX (differences),0.356620622644942,Official forecast then model projection
2052,arimax_diff,ARIMAX (differences),0.357254581383589,Official forecast then model projection
2053,arimax_diff,ARIMAX (differences),0.357888540122237,Official forecast then model projection
2054,arimax_diff,ARIMAX (differences),0.358522498860885,Official forecast then model projection
2055,arimax_diff,ARIMAX (differences),0.359156457599531,Official forecast then model projection
2056,arimax_diff,ARIMAX (differences),0.359790416338178,Official forecast then model projection
2057,arimax_diff,ARIMAX (differences),0.360424375076825,Official forecast then model projection
2058,arimax_diff,ARIMAX (differences),0.361058333815473,Official forecast then model projection
2059,arimax_diff,ARIMAX (differences),0.36169229255412,Official forecast then model projection
2060,arimax_diff,ARIMAX (differences),0.362326251292767,Official forecast then model projection
2061,arimax_diff,ARIMAX (differences),0.362960210031415,Official forecast then model projection
2062,arimax_diff,ARIMAX (differences),0.363594168770062,Official forecast then model projection
2063,arimax_diff,ARIMAX (differences),0.364228127508709,Official forecast then model projection
2064,arimax_diff,ARIMAX (differences),0.364862086247356,Official forecast then model projection
2065,arimax_diff,ARIMAX (differences),0.365496044986004,Official forecast then model projection
2066,arimax_diff,ARIMAX (differences),0.36613000372465,Official forecast then model projection
2026,hybrid,Hybrid demographics/macro,0.36205,Official forecast then model projection
2027,hybrid,Hybrid demographics/macro,0.35425,Official forecast then model projection
2028,hybrid,Hybrid demographics/macro,0.34808,Official forecast then model projection
2029,hybrid,Hybrid demographics/macro,0.34529,Official forecast then model projection
2030,hybrid,Hybrid demographics/macro,0.343080911866355,Official forecast then model projection
2031,hybrid,Hybrid demographics/macro,0.340471695388344,Official forecast then model projection
2032,hybrid,Hybrid demographics/macro,0.337600315368407,Official forecast then model projection
2033,hybrid,Hybrid demographics/macro,0.338843011479046,Official forecast then model projection
2034,hybrid,Hybrid demographics/macro,0.340421663046557,Official forecast then model projection
2035,hybrid,Hybrid demographics/macro,0.341698897030679,Official forecast then model projection
2036,hybrid,Hybrid demographics/macro,0.343755493043112,Official forecast then model projection
