year,scenario,category,baseline_share_gdp,data_enhanced_share_gdp,difference_pp
2061,central,General public services excl interest,0.0213101751370939,0.0212722452867697,-0.0037929850324199
2061,central,Health,0.0989671871803297,0.102604296904085,0.363710972375521
2061,central,Housing and community amenities,0.00462706134420852,0.0045166234646016,-0.0110437879606922
2061,central,Public order and safety,0.0191575857185108,0.0212154659960717,0.205788027756094
2061,central,"Recreation, culture and religion",0.00664655413257487,0.00709879050125946,0.0452236368684587
2061,central,Social Protection,0.126081981849927,0.116563532238554,-0.951844961137271
2061,central,Transport,0.0156940016361575,0.0175985263257787,0.190452468962119
2061,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349838
2061,pressure,Economic affairs,0.0166602997579173,0.0143879155822175,-0.22723841756998
2061,pressure,Education,0.0516500607745353,0.05587899567394,0.422893489940469
2061,pressure,Environmental Protection,0.00746578341572841,0.00862962390031469,0.116384048458627
2061,pressure,General public services excl interest,0.023008209938514,0.022968174998261,-0.00400349402530226
2061,pressure,Health,0.116594667475745,0.120884441796891,0.428977432114586
2061,pressure,Housing and community amenities,0.00499575428737893,0.0048764549398356,-0.0119299347543333
2061,pressure,Public order and safety,0.0206893604992864,0.0229182673628711,0.222890686358465
2061,pressure,"Recreation, culture and religion",0.00717616405619251,0.00766595824887169,0.0489794192679183
2061,pressure,Social Protection,0.148526000371405,0.137319809482354,-1.12061908890514
2061,pressure,Transport,0.0169445291790003,0.0190067570563534,0.206222787735307
2061,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2061,restraint,Economic affairs,0.0144314725418463,0.0124708976344236,-0.196057490742269
2061,restraint,Education,0.0447189239435417,0.0483615954015527,0.364267145801097
2061,restraint,Environmental Protection,0.00646700539204013,0.00747001798315672,0.100301259111659
2061,restraint,General public services excl interest,0.0199301546064264,0.0198949423922301,-0.00352122141962542
2061,restraint,Health,0.084855262494756,0.0879754704902221,0.312020799546606
2061,restraint,Housing and community amenities,0.00432741858620272,0.00422439266090897,-0.0103025925293753
2061,restraint,Public order and safety,0.0179129690214082,0.0198329717626453,0.19200027412371
2061,restraint,"Recreation, culture and religion",0.00621613152449504,0.00663819779698822,0.0422066272493178
2061,restraint,Social Protection,0.117890775394169,0.109010212953997,-0.888056244017239
2061,restraint,Transport,0.0146776775408887,0.0164549438216579,0.177726628076918
2062,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2062,central,Economic affairs,0.0154350308805161,0.0132887162990964,-0.214631458141968
2062,central,Education,0.0478363295736857,0.0518364008167965,0.400007124311081
2062,central,Environmental Protection,0.00691671814093569,0.00801890325793542,0.110218511699973
2062,central,General public services excl interest,0.0213160889099607,0.021277571745673,-0.00385171642877311
2062,central,Health,0.0999377583290812,0.103698949589395,0.376119126031378
2062,central,Housing and community amenities,0.00462834539699807,0.00451540646749981,-0.0112938929498256
2062,central,Public order and safety,0.0192091473998531,0.021323376843457,0.211422944360386
2062,central,"Recreation, culture and religion",0.00664839861349697,0.00711173272680107,0.0463334113304097
2062,central,Social Protection,0.126746526982281,0.116966114937149,-0.978041204513166
2062,central,Transport,0.0156983568683623,0.0176505875265765,0.195223065821424
2062,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349769
2062,pressure,Economic affairs,0.0167045361916645,0.0143771659545126,-0.232737023715192
2062,pressure,Education,0.0517845023496676,0.0561279570415976,0.434345469192999
2062,pressure,Environmental Protection,0.00748560656646638,0.00868189810262415,0.119629153615777
2062,pressure,General public services excl interest,0.0230693013455941,0.0230285331281856,-0.00407682174084698
2062,pressure,Health,0.118305675275696,0.122763268568873,0.445759329317733
2062,pressure,Housing and community amenities,0.00500901901591096,0.00488671768538198,-0.0122301330528983
2062,pressure,Public order and safety,0.0207945749083976,0.0230900758948317,0.229550098643407
2062,pressure,"Recreation, culture and religion",0.0071952182095057,0.00769824177431272,0.0503023564807024
2062,pressure,Social Protection,0.150027207438995,0.138456560373299,-1.15706470656962
2062,pressure,Transport,0.0169895202988058,0.0191085203218845,0.21190000230787
2062,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596467
2062,restraint,Economic affairs,0.0144014816769342,0.0124030763769859,-0.199840529994829
2062,restraint,Education,0.0446228342055522,0.0483461559836555,0.372332177810326
2062,restraint,Environmental Protection,0.00645356593986114,0.00747959490655061,0.102602896668947
2062,restraint,General public services excl interest,0.0198887366171848,0.0198530612189472,-0.00356753982376397
2062,restraint,Health,0.0852794465061345,0.0884906259537174,0.321117944758292
