year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2056,restraint,4363772.14108862,0.349778474377557,4739657.83119333,0.379907619294913,12475816.7261553
2057,restraint,4589282.74395728,0.350337422100175,4984593.41910809,0.380514713539315,13099607.5624631
2058,restraint,4826456.34709861,0.350897923510814,5242196.63236861,0.381123495302991,13754587.9405863
2059,restraint,5075896.75950136,0.351459993631423,5513123.29073576,0.381733980901847,14442317.3376156
2060,restraint,5338239.08785527,0.352023647429991,5798063.2075862,0.382346186593182,15164433.2044964
2061,restraint,5614151.36099829,0.352588899822052,6097741.95428594,0.382960128577322,15922654.8647212
2062,restraint,5904336.23879922,0.353155765672212,6412922.71627228,0.383575822999275,16718787.6079572
2063,restraint,6209532.80987117,0.353724259795681,6744408.24561838,0.384193285950404,17554726.9883551
2064,restraint,6530518.48274043,0.354294396959831,7093042.91510324,0.384812533470107,18432463.3377728
2065,restraint,6868110.97533654,0.354866191885746,7459714.87907202,0.385433581547511,19354086.5046615
2066,restraint,7223170.40792312,0.355439659249784,7845358.34664735,0.386056446123161,20321790.8298946
