year,scenario,category,value,nominal_gdp,applied_excess_cost,raw_value,raw_share_gdp,share_gdp
2051,restraint,"Recreation, culture and religion",65233.904050475,9775128.85300757,-0.000899246075254549,70853.0084054793,0.00724829406045933,0.00667345720260292
2051,restraint,Social Protection,1053548.55669022,9775128.85300757,-0.00187692527148523,1144298.90145766,0.117062283133545,0.107778482773255
2051,restraint,Transport,159888.17961683,9775128.85300757,0.000276333048930885,173660.594122384,0.0177655554963813,0.0163566314082537
2052,restraint,Defence,207897.633704789,10263885.2956579,,225805.476504475,0.022,0.0202552569242701
2052,restraint,Economic affairs,134427.769948808,10263885.2956579,-0.006,146007.081022516,0.0142253227522217,0.0130971621444052
2052,restraint,Education,497619.953465726,10263885.2956579,0.0019103305056191,540483.836723315,0.0526587954906279,0.0484826105447847
2052,restraint,Environmental Protection,75784.7308970177,10263885.2956579,0.001,82312.6601636268,0.00801963952173632,0.00738362995239998
2052,restraint,General public services excl interest,208090.290769634,10263885.2956579,-0.00252808124686075,226014.728623193,0.022020387223034,0.0202740273079304
2052,restraint,Health,856453.08349438,10263885.2956579,0.00339038145493983,930226.059700073,0.0906309874773832,0.0834433607570318
2052,restraint,Housing and community amenities,44391.4304008107,10263885.2956579,-0.00306645739551485,48215.2101288654,0.00469755932962953,0.004325012324484
2052,restraint,Public order and safety,198656.141393896,10263885.2956579,0.00248035707426025,215767.942465791,0.0210220531748411,0.019354867642367
2052,restraint,"Recreation, culture and religion",68460.0079604148,10263885.2956579,-0.000899246075254549,74357.0017778681,0.007244527743244,0.0066699895788368
2052,restraint,Social Protection,1107528.59774484,10263885.2956579,-0.00187692527148523,1202928.66397519,0.117200127371268,0.107905395066464
2052,restraint,Transport,167984.963734867,10263885.2956579,0.000276333048930885,182454.817333809,0.017776388967538,0.0163666057146928
2053,restraint,Defence,218292.515390029,10777079.5604408,,237095.750329699,0.022,0.0202552569242701
2053,restraint,Economic affairs,140383.84807549,10777079.5604408,-0.006,152476.202558565,0.0141481930891793,0.0130261493652504
2053,restraint,Education,522373.274204605,10777079.5604408,0.0019103305056191,567369.353816057,0.0526459279282567,0.0484707634637929
2053,restraint,Environmental Protection,79677.6218707702,10777079.5604408,0.001,86540.876164182,0.0080300860431471,0.00739324799672453
2053,restraint,General public services excl interest,218038.879507088,10777079.5604408,-0.00252808124686075,236820.266812232,0.0219744380176539,0.0202317221733649
2053,restraint,Health,904604.184955124,10777079.5604408,0.00339038145493983,982524.790646659,0.0911680001188066,0.0839377848035596
2053,restraint,Housing and community amenities,46489.6332774434,10777079.5604408,-0.00306645739551485,50494.147565132,0.00468532753070504,0.00431375058676301
2053,restraint,Public order and safety,209157.298289399,10777079.5604408,0.00248035707426025,227173.645813066,0.0210793327208001,0.0194076045478172
2053,restraint,"Recreation, culture and religion",71845.491827313,10777079.5604408,-0.000899246075254549,78034.1037445441,0.00724074674469157,0.00666650843805908
2053,restraint,Social Protection,1164263.71338613,10777079.5604408,-0.00187692527148523,1264550.81711673,0.117337058711015,0.108031466860444
2053,restraint,Transport,176491.351216078,10777079.5604408,0.000276333048930885,191693.926237059,0.0177871867013681,0.0163765471180077
2054,restraint,Defence,229207.14115953,11315933.5384629,,248950.537846184,0.022,0.0202552569242701
2054,restraint,Economic affairs,146603.540919705,11315933.5384629,-0.006,159231.646001436,0.0140714546846892,0.0129554968153002
2054,restraint,Education,548353.342389849,11315933.5384629,0.0019103305056191,595587.28766959,0.0526326251073486,0.048458515643097
2054,restraint,Environmental Protection,83770.2808187018,11315933.5384629,0.001,90986.0677108076,0.00804052687315153,0.00740286080100828
2054,restraint,General public services excl interest,228462.607716555,11315933.5384629,-0.00252808124686075,248141.871937541,0.0219285374109088,0.0201894617832466
2054,restraint,Health,955454.85458013,11315933.5384629,0.00339038145493983,1037755.62459425,0.091707469036197,0.084434470327396
2054,restraint,Housing and community amenities,48686.9065365967,11315933.5384629,-0.00306645739551485,52880.6890877652,0.00467311768030658,0.00430250905690722
2054,restraint,Public order and safety,220213.005546868,11315933.5384629,0.00248035707426025,239181.66726516,0.0211367154510214,0.0194604364543467
2054,restraint,"Recreation, culture and religion",75398.2235365753,11315933.5384629,-0.000899246075254549,81892.859913177,0.00723695129834608,0.00666301399529226
2054,restraint,Social Protection,1223894.04911048,11315933.5384629,-0.00187692527148523,1329317.57820203,0.117473081092574,0.108156701782532
