datemonth,IDage,exitrate
2017-01-01,24,0.097
2017-02-01,24,0.115
2017-03-01,24,0.108
2017-04-01,24,0.087
2017-05-01,24,0.1
2017-06-01,24,0.092
2017-07-01,24,0.105
2017-08-01,24,0.097
2017-09-01,24,0.085
2017-10-01,24,0.09
2017-11-01,24,0.081
2017-12-01,24,0.058
2018-01-01,24,0.106
2018-02-01,24,0.107
2018-03-01,24,0.091
2018-04-01,24,0.102
2018-05-01,24,0.104
2018-06-01,24,0.065
2018-07-01,24,0.077
2006-07-01,25,0.128
2006-08-01,25,0.13
2006-09-01,25,0.118
2006-10-01,25,0.136
2006-11-01,25,0.113
2006-12-01,25,0.083
2007-01-01,25,0.133
2007-02-01,25,0.147
2007-03-01,25,0.136
2007-04-01,25,0.125
2007-05-01,25,0.136
2007-06-01,25,0.117
2007-07-01,25,0.141
2007-08-01,25,0.129
2007-09-01,25,0.116
2007-10-01,25,0.133
2007-11-01,25,0.121
2007-12-01,25,0.085
2008-01-01,25,0.132
2008-02-01,25,0.158
2008-03-01,25,0.123
2008-04-01,25,0.129
2008-05-01,25,0.121
2008-06-01,25,0.11
2008-07-01,25,0.114
2008-08-01,25,0.114
2008-09-01,25,0.119
2008-10-01,25,0.125
2008-11-01,25,0.092
2008-12-01,25,0.077
2009-01-01,25,0.107
2009-02-01,25,0.124
2009-03-01,25,0.127
2009-04-01,25,0.103
2009-05-01,25,0.098
2009-06-01,25,0.107
2009-07-01,25,0.117
2009-08-01,25,0.104
2009-09-01,25,0.107
2009-10-01,25,0.113
2009-11-01,25,0.09
2009-12-01,25,0.084
2010-01-01,25,0.105
2010-02-01,25,0.141
2010-03-01,25,0.122
2010-04-01,25,0.108
2010-05-01,25,0.112
2010-06-01,25,0.11
2010-07-01,25,0.127
2010-08-01,25,0.121
2010-09-01,25,0.113
2010-10-01,25,0.12
2010-11-01,25,0.109
2010-12-01,25,0.08
2011-01-01,25,0.103
2011-02-01,25,0.135
2011-03-01,25,0.134
2011-04-01,25,0.105
2011-05-01,25,0.115
2011-06-01,25,0.117
2011-07-01,25,0.128
2011-08-01,25,0.124
2011-09-01,25,0.105
2011-10-01,25,0.103
2011-11-01,25,0.099
2011-12-01,25,0.079
2012-01-01,25,0.113
2012-02-01,25,0.142
2012-03-01,25,0.116
2012-04-01,25,0.093
2012-05-01,25,0.106
2012-06-01,25,0.094
2012-07-01,25,0.121
2012-08-01,25,0.115
2012-09-01,25,0.089
2012-10-01,25,0.109
2012-11-01,25,0.093
2012-12-01,25,0.071
2013-01-01,25,0.096
2013-02-01,25,0.118
2013-03-01,25,0.103
2013-04-01,25,0.091
2013-05-01,25,0.094
2013-06-01,25,0.086
2013-07-01,25,0.112
2013-08-01,25,0.1
2013-09-01,25,0.082
2013-10-01,25,0.091
2013-11-01,25,0.081
2013-12-01,25,0.063
2014-01-01,25,0.09
2014-02-01,25,0.122
2014-03-01,25,0.1
2014-04-01,25,0.08
2014-05-01,25,0.094
2014-06-01,25,0.082
2014-07-01,25,0.114
2014-08-01,25,0.085
2014-09-01,25,0.092
2014-10-01,25,0.09
2014-11-01,25,0.078
2014-12-01,25,0.056
2015-01-01,25,0.087
2015-02-01,25,0.117
2015-03-01,25,0.082
2015-04-01,25,0.09
2015-05-01,25,0.079
2015-06-01,25,0.07
2015-07-01,25,0.11
2015-08-01,25,0.088
2015-09-01,25,0.088
2015-10-01,25,0.089
2015-11-01,25,0.092
2015-12-01,25,0.054
2016-01-01,25,0.095
2016-02-01,25,0.11
2016-03-01,25,0.088
2016-04-01,25,0.104
2016-05-01,25,0.093
2016-06-01,25,0.093
2016-07-01,25,0.1
2016-08-01,25,0.098
2016-09-01,25,0.092
2016-10-01,25,0.087
2016-11-01,25,0.086
2016-12-01,25,0.059
2017-01-01,25,0.097
2017-02-01,25,0.114
2017-03-01,25,0.097
2017-04-01,25,0.077
2017-05-01,25,0.096
2017-06-01,25,0.088
2017-07-01,25,0.102
2017-08-01,25,0.089
2017-09-01,25,0.09
2017-10-01,25,0.089
2017-11-01,25,0.091
2017-12-01,25,0.053
2018-01-01,25,0.087
2018-02-01,25,0.108
2018-03-01,25,0.093
2018-04-01,25,0.092
2018-05-01,25,0.093
2018-06-01,25,0.068
2018-07-01,25,0.081
2006-07-01,26,0.132
2006-08-01,26,0.124
2006-09-01,26,0.109
2006-10-01,26,0.127
2006-11-01,26,0.107
2006-12-01,26,0.081
2007-01-01,26,0.117
2007-02-01,26,0.142
2007-03-01,26,0.135
2007-04-01,26,0.119
2007-05-01,26,0.125
2007-06-01,26,0.114
2007-07-01,26,0.13
2007-08-01,26,0.135
2007-09-01,26,0.114
2007-10-01,26,0.125
2007-11-01,26,0.117
2007-12-01,26,0.077
2008-01-01,26,0.128
2008-02-01,26,0.141
2008-03-01,26,0.135
2008-04-01,26,0.127
2008-05-01,26,0.123
2008-06-01,26,0.108
2008-07-01,26,0.126
2008-08-01,26,0.112
2008-09-01,26,0.104
2008-10-01,26,0.11
2008-11-01,26,0.094
2008-12-01,26,0.072
2009-01-01,26,0.099
2009-02-01,26,0.119
2009-03-01,26,0.116
2009-04-01,26,0.108
2009-05-01,26,0.107
2009-06-01,26,0.103
2009-07-01,26,0.117
2009-08-01,26,0.092
2009-09-01,26,0.108
2009-10-01,26,0.103
2009-11-01,26,0.098
2009-12-01,26,0.076
2010-01-01,26,0.097
2010-02-01,26,0.122
2010-03-01,26,0.122
2010-04-01,26,0.109
2010-05-01,26,0.107
2010-06-01,26,0.107
2010-07-01,26,0.11
2010-08-01,26,0.106
2010-09-01,26,0.113
2010-10-01,26,0.109
2010-11-01,26,0.102
2010-12-01,26,0.084
2011-01-01,26,0.1
2011-02-01,26,0.135
