income,income_budget_year,income_future_year,etr_pre_budget_2026,etr_budget_year,etr_future_year,diff,diff_doll
101500,106638.4375,136506.215660999,0.209241379310345,0.206243937604581,0.227530297021072,0.0212863594164914,2160.56548077387
102000,107163.75,137178.660073122,0.209686274509804,0.206703526145735,0.228228677918028,0.0215251517722929,2195.56548077387
102500,107689.0625,137851.104485245,0.210126829268293,0.207158630896244,0.228920245342818,0.0217616144465744,2230.56548077388
103000,108214.375,138523.548897369,0.210563106796117,0.207609317154029,0.229605098520765,0.0219957813667367,2265.56548077388
103500,108739.6875,139195.993309492,0.210995169082126,0.208055648955217,0.230283334759796,0.0222276858045785,2300.56548077388
104000,109265,139868.437721615,0.211423076923077,0.208497689104471,0.230955049496527,0.0224573603920565,2335.56548077388
104500,109790.3125,140540.882133738,0.211846889952153,0.208935499204449,0.231620336341042,0.0226848371365921,2370.56548077388
105000,110315.625,141213.326545861,0.212266666666667,0.209369139684428,0.23227928712037,0.0229101474359417,2405.56548077388
105500,110840.9375,141885.770957984,0.212682464454976,0.209798669828104,0.232931991920747,0.0231333220926434,2440.56548077388
106000,111366.25,142558.215370108,0.213094339622642,0.210224147800613,0.233578539128668,0.0233543913280554,2475.56548077388
106500,111891.5625,143230.659782231,0.21350234741784,0.210645630674788,0.234219015470787,0.0235733847959988,2510.56548077387
107000,112416.875,143903.104194354,0.213906542056075,0.211063174456682,0.234853506052699,0.0237903315960175,2545.56548077388
107500,112942.1875,144575.548606477,0.214306976744186,0.211476834110372,0.23548209439664,0.0240052602862686,2580.56548077387
108000,113467.5,145247.9930186,0.214703703703704,0.211886663582083,0.236104862478137,0.0242181988960544,2615.56548077388
108500,113992.8125,145920.437430723,0.215096774193548,0.21229271582364,0.236721890761648,0.0244291749380081,2650.56548077387
109000,114518.125,146592.881842846,0.21548623853211,0.212695042815275,0.237333258235219,0.0246382154199438,2685.56548077388
109500,115043.4375,147265.32625497,0.215872146118721,0.213093695587808,0.23793904244419,0.0248453468563824,2720.56548077388
110000,115568.75,147937.770667093,0.216254545454545,0.213488724244227,0.238539319523989,0.0250505952797625,2755.56548077388
110500,116094.0625,148610.215079216,0.216633484162896,0.213880177980678,0.239134164232026,0.0252539862513473,2790.56548077388
111000,116619.375,149282.659491339,0.217009009009009,0.214268105106892,0.239723649978728,0.0254555448718367,2825.56548077388
111500,117144.6875,149955.103903462,0.217381165919283,0.214652553066053,0.240307848857747,0.025655295791694,2860.56548077388
112000,117670,150627.548315585,0.21775,0.215033568454151,0.240886831675347,0.0258532632211953,2895.56548077388
