time,counts,surv,strata
1140,116687,0.282155515125381,2019
0,1407401,0.998832599948416,2020
30,1320058,0.936049498330611,2020
60,1213896,0.860729102793021,2020
90,1117629,0.791892289404371,2020
120,1029598,0.730270193072196,2020
150,955315,0.676976924131788,2020
180,880096,0.623319864061488,2020
210,794026,0.562415402575387,2020
240,726429,0.515001055136384,2020
270,668409,0.474014868541377,2020
300,624994,0.442892963696915,2020
330,578430,0.410185156895584,2020
360,530509,0.376118817593566,2020
390,474189,0.336282978340929,2020
420,431478,0.305814760682991,2020
450,399895,0.283635580761987,2020
480,373630,0.265055943544165,2020
510,352281,0.249790216150195,2020
540,333585,0.236678103824,2020
570,315862,0.22413512566781,2020
600,298043,0.21149267337454,2020
630,280458,0.198971721634418,2020
660,268217,0.190375735131637,2020
690,255500,0.181302272770874,2020
720,243234,0.172508048523485,2020
750,231511,0.164298590096213,2020
780,220633,0.156601423474902,2020
810,210833,0.149663812943149,2020
840,198897,0.143902758920845,2020
870,183769,0.138946412335636,2020
900,169389,0.133906017982488,2020
930,155120,0.129043230349373,2020
960,140756,0.124363679794635,2020
990,126250,0.120101179859042,2020
1020,112268,0.116668639146812,2020
1050,97969,0.112961154501148,2020
1080,79911,0.109260395529944,2020
1110,28061,0.106379234029475,2020
1140,15310,0.103842952007098,2020
