year,cofog_group_name,exp_gdp_f,0_14,15_34,35_54,55_64,65p
2016,077 RandD Health,0.0621457286700672,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,077 RandD Health,0.0547852230956744,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,077 RandD Health,0.0732623851802558,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,077 RandD Health,0.0805162765151747,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,079 Health not elsewhere classified,0.146261337738535,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,079 Health not elsewhere classified,0.193531543393887,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,079 Health not elsewhere classified,0.0945935352373984,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,079 Health not elsewhere classified,0.090194357972072,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,079 Health not elsewhere classified,0.11142895171834,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,079 Health not elsewhere classified,0.073145697425415,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,079 Health not elsewhere classified,0.0770534612118418,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,079 Health not elsewhere classified,0.0807283004891101,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,079 Health not elsewhere classified,0.0743587560792395,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,079 Health not elsewhere classified,0.0850403835551484,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,079 Health not elsewhere classified,0.109781289241981,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,079 Health not elsewhere classified,0.121959641497729,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,079 Health not elsewhere classified,0.125582605540059,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,079 Health not elsewhere classified,0.157096672199539,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,079 Health not elsewhere classified,0.147502725555344,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,079 Health not elsewhere classified,0.148044960313144,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,079 Health not elsewhere classified,0.149519239472107,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,079 Health not elsewhere classified,0.13287548821375,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,079 Health not elsewhere classified,0.141844076079507,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,079 Health not elsewhere classified,0.1444658274755,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,079 Health not elsewhere classified,0.135838015986958,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,081 Recreational and sporting services,0.129544068522055,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,081 Recreational and sporting services,0.159729801225777,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,081 Recreational and sporting services,0.148841098539288,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,081 Recreational and sporting services,0.126370138506523,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,081 Recreational and sporting services,0.101580893792333,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,081 Recreational and sporting services,0.127771346025347,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,081 Recreational and sporting services,0.123917771466839,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,081 Recreational and sporting services,0.120764878729877,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,081 Recreational and sporting services,0.116129211335247,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,081 Recreational and sporting services,0.112833769937597,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,081 Recreational and sporting services,0.114043521877819,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,081 Recreational and sporting services,0.120895958601949,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,081 Recreational and sporting services,0.121725296072842,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,081 Recreational and sporting services,0.114399720724051,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,081 Recreational and sporting services,0.114894871546711,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,081 Recreational and sporting services,0.115026918147127,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,081 Recreational and sporting services,0.118141162984066,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,081 Recreational and sporting services,0.122632173021781,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,081 Recreational and sporting services,0.124360773317408,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,081 Recreational and sporting services,0.131492488326254,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,081 Recreational and sporting services,0.124113449802609,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,082 Cultural services,0.112472369569536,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,082 Cultural services,0.110463209699707,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,082 Cultural services,0.114609736340119,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,082 Cultural services,0.110095939133301,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,082 Cultural services,0.109559644426829,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,082 Cultural services,0.114263603992083,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,082 Cultural services,0.105899115921916,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,082 Cultural services,0.107370823463875,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,082 Cultural services,0.107614849952128,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,082 Cultural services,0.116922841164219,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,082 Cultural services,0.111365227045839,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,082 Cultural services,0.111434779160536,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,082 Cultural services,0.103733147886831,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,082 Cultural services,0.103931455663092,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,082 Cultural services,0.103065374907808,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,082 Cultural services,0.095905204715805,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
