search_curvature,separation_threshold,separation_dispersion,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,common_sep_shock,mu_pre,kappa_common,mu_post
60.0,0.05,0.16,10.86669745086887,-5.1710860797279805,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221086073663706,-1.7100000000000004,-6.853661534365659,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.913920272019453e-5,0.048,0.0484,0.05499999999999998,0.05963647230107786,0.0,1.9999999544614233,363.63635535662235,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.05,0.32,11.537968391922186,-5.171084178735362,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221084172671087,-1.7100000000000004,-6.853659633373041,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.91582126463762e-5,0.048,0.0484,0.05499999999999998,0.05863352752399892,0.0,1.9999999444799779,363.6363535418141,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.1,0.04,0.0007558672927947785,0.35456941301425726,-1.3399999999999994,-1.3674245392980469,-3.05,-2.6954305809214687,-1.7100000000000004,-1.3280060416234218,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.05534569413014257,0.048,0.0484,0.05499999999999998,0.09260000000317158,0.0,0.03681896191221773,6.694356711312313,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.1,0.08,7.622214417592351,-5.171097905027914,-1.3399999999999994,-1.3674245392980469,-3.05,-8.22109789896364,-1.7100000000000004,-6.853673359665593,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.90209497208554e-5,0.048,0.0484,0.05499999999999998,0.06499301075760061,0.0,1.9999966556746829,363.63575557721504,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.1,0.16,11.584012540173077,-5.171084053489328,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221084047425053,-1.7100000000000004,-6.853659508127007,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.915946510671801e-5,0.048,0.0484,0.05499999999999998,0.05856581619477223,0.0,1.9999999544426972,363.63635535321765,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.1,0.32,11.792953996206833,-5.171083491033029,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221083484968753,-1.7100000000000004,-6.853658945670706,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.91650896697141e-5,0.048,0.0484,0.05499999999999998,0.058260229865483903,0.0,1.999999943990801,363.63635345287287,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.2,0.04,5.4364144355312005,-5.145396482390504,-1.3399999999999994,-1.3674245392980469,-3.05,-8.19539647632623,-1.7100000000000004,-6.827971937028184,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.0003460351760949558,0.048,0.0484,0.05499999999999998,0.0692855011457711,0.0,1.5278640450004204,277.79346272734915,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.2,0.08,11.836291499738856,-5.171083014700789,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221083008636516,-1.7100000000000004,-6.853658469338469,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.916985299210929e-5,0.048,0.0484,0.05499999999999998,0.05819718669578597,0.0,1.999985934110582,363.63380620192396,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.2,0.16,12.525687892223154,-5.171081608232829,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221081602168555,-1.7100000000000004,-6.853657062870508,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.918391767170698e-5,0.048,0.0484,0.05499999999999998,0.05720941929703561,0.0,1.9999999544178277,363.63635534869593,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.2,0.32,12.203785046483139,-5.1710824189874565,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221082412923183,-1.7100000000000004,-6.853657873625136,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.917581012543417e-5,0.048,0.0484,0.05499999999999998,0.057667165618589804,0.0,1.9999999432113913,363.636353311162,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
