scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
IR shock: +150bp + transient GDP effect (built on 2),2057,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000699152575006184,0.0446991525750062,0.392207077318349,0.0166740005707277,-0.00776134996831801
IR shock: +150bp + transient GDP effect (built on 2),2058,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000715007500273345,0.0447150075002734,0.392738829045579,0.0167024213370955,-0.00778977073468582
IR shock: +150bp + transient GDP effect (built on 2),2059,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000730960052090248,0.0447309600520903,0.393273871137219,0.0167310332123262,-0.00781838260991652
IR shock: +150bp + transient GDP effect (built on 2),2060,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000747011314839456,0.0447470113148395,0.393812240261319,0.0167598384396265,-0.00784718783721688
IR shock: +150bp + transient GDP effect (built on 2),2061,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000763162388562474,0.0447631623885625,0.394353973617428,0.0167888392965915,-0.00787618869418181
IR shock: +150bp + transient GDP effect (built on 2),2062,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000779414389245727,0.0447794143892457,0.394899108946331,0.0168180380958671,-0.00790538749345748
IR shock: +150bp + transient GDP effect (built on 2),2063,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000795768449112808,0.0447957684491128,0.39544768454001,0.0168474371858293,-0.00793478658341969
IR shock: +150bp + transient GDP effect (built on 2),2064,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000812225716923179,0.0448122257169232,0.395999739251819,0.0168770389512777,-0.00796438834886802
IR shock: +150bp + transient GDP effect (built on 2),2065,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00082878735827746,0.0448287873582775,0.396555312506887,0.0169068458141458,-0.00799419521173618
IR shock: +150bp + transient GDP effect (built on 2),2066,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000845454555929487,0.0448454545559295,0.397114444312748,0.0169368602342286,-0.00802420963181892
