component,term,is_regressor_parameter,estimate_baseline,estimate_leave_one_out,year_removed,change,abs_change,relative_abs_change
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0145193652990559,2006,-0.000564797572869435,0.000564797572869435,0.037443083694133
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00843668438513074,2006,-0.00229580379170386,0.00229580379170386,0.213911606877817
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00612421356545195,2006,-0.00194282347619312,0.00194282347619312,0.240834827727149
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2006,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2006,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.12559937295564,2007,0.00993518474783672,0.00993518474783672,0.0858968095637962
demographic_level,0_14,TRUE,-0.272004005266322,-0.29014015895269,2007,-0.0181361536863683,0.0181361536863683,0.0666760537904987
demographic_level,15_34,TRUE,0.836174838612488,0.823968793492597,2007,-0.0122060451198904,0.0122060451198904,0.014597479565571
demographic_level,55_64,TRUE,-0.574198297012215,-0.547641946131865,2007,0.0265563508803499,0.0265563508803499,0.0462494420804334
demographic_level,65p,TRUE,0.805797162420101,0.766926912874509,2007,-0.0388702495455913,0.0388702495455913,0.048238255678203
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2007,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2007,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0146202055927808,2007,-0.000463957279144559,0.000463957279144559,0.0307579070236689
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00856273080954445,2007,-0.00216975736729015,0.00216975736729015,0.202167226419446
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00611375406895818,2007,-0.00195328297268688,0.00195328297268688,0.242131399992749
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2007,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2007,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.127376065759096,2008,0.011711877551293,0.011711877551293,0.101257595222571
demographic_level,0_14,TRUE,-0.272004005266322,-0.309656054314152,2008,-0.0376520490478305,0.0376520490478305,0.138424612574969
demographic_level,15_34,TRUE,0.836174838612488,0.833517683560975,2008,-0.00265715505151209,0.00265715505151209,0.0031777505478654
demographic_level,55_64,TRUE,-0.574198297012215,-0.535772043632265,2008,0.0384262533799501,0.0384262533799501,0.0669215732263529
demographic_level,65p,TRUE,0.805797162420101,0.753452567102493,2008,-0.0523445953176078,0.0523445953176078,0.0649600144537591
macro_difference_arimax,ar1,FALSE,0.31032311338159,0.202916359613303,2008,-0.107406753768287,0.107406753768287,0.346112645615969
macro_difference_arimax,ar2,FALSE,-0.812520367679284,-0.646613518611682,2008,0.165906849067602,0.165906849067602,0.204187926441111
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0162048523713673,2008,0.00112068949944197,0.00112068949944197,0.0742957702696118
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.0091703698086647,2008,-0.0015621183681699,0.0015621183681699,0.145550439230078
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00750374882210522,2008,-0.000563288219539843,0.000563288219539843,0.0698259121201426
macro_difference_arimax,ma1,FALSE,0.00721970768424635,0.202610128795722,2008,0.195390421111475,0.195390421111475,27.0634809131987
macro_difference_arimax,ma2,FALSE,0.999965697612929,0.999996118721325,2008,3.04211083961281e-05,3.04211083961281e-05,3.04221519485598e-05
demographic_level,(Intercept),TRUE,0.115664188207803,0.104392075103775,2009,-0.0112721131040282,0.0112721131040282,0.0974555156499835
demographic_level,0_14,TRUE,-0.272004005266322,-0.217193105965672,2009,0.0548108993006495,0.0548108993006495,0.201507691943667
demographic_level,15_34,TRUE,0.836174838612488,0.824975695783873,2009,-0.0111991428286147,0.0111991428286147,0.0133933028255168
demographic_level,55_64,TRUE,-0.574198297012215,-0.614592253144519,2009,-0.040393956132304,0.040393956132304,0.0703484429377273
demographic_level,65p,TRUE,0.805797162420101,0.860739005096151,2009,0.0549418426760501,0.0549418426760501,0.0681832168669344
macro_difference_arimax,ar1,FALSE,0.31032311338159,0.104433964124624,2009,-0.205889149256966,0.205889149256966,0.663467013505352
macro_difference_arimax,ar2,FALSE,-0.812520367679284,-0.628415455258567,2009,0.184104912420718,0.184104912420718,0.22658498142829
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0152698702571065,2009,0.000185707385181172,0.000185707385181172,0.0123114147439239
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00767327496037051,2009,-0.00305921321646408,0.00305921321646408,0.285042309486742
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00766360856984993,2009,-0.000403428471795133,0.000403428471795133,0.0500094978754262
macro_difference_arimax,ma1,FALSE,0.00721970768424635,0.311790536983475,2009,0.304570829299228,0.304570829299228,42.1860333713804
macro_difference_arimax,ma2,FALSE,0.999965697612929,0.999994214267453,2009,2.85166545235249e-05,2.85166545235249e-05,2.85176327464017e-05
demographic_level,(Intercept),TRUE,0.115664188207803,0.101657749323109,2010,-0.0140064388846933,0.0140064388846933,0.121095726358528
demographic_level,0_14,TRUE,-0.272004005266322,-0.191456263552257,2010,0.0805477417140643,0.0805477417140643,0.296127042817621
demographic_level,15_34,TRUE,0.836174838612488,0.814209330403486,2010,-0.0219655082090012,0.0219655082090012,0.026269037520251
demographic_level,55_64,TRUE,-0.574198297012215,-0.634291220949461,2010,-0.0600929239372463,0.0600929239372463,0.104655350337913
demographic_level,65p,TRUE,0.805797162420101,0.879999647906915,2010,0.0742024854868146,0.0742024854868146,0.0920858113522734
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2010,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2010,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0176313463408595,2010,0.00254718346893411,0.00254718346893411,0.168864755078648
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.0151141616592597,2010,0.00438167348242514,0.00438167348242514,0.408262595796071
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00625143406801903,2010,-0.00181560297362603,0.00181560297362603,0.225064415132001
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2010,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2010,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.11307994403062,2011,-0.00258424417718312,0.00258424417718312,0.0223426474280894
demographic_level,0_14,TRUE,-0.272004005266322,-0.254770523777718,2011,0.0172334814886033,0.0172334814886033,0.0633574548717761
demographic_level,15_34,TRUE,0.836174838612488,0.830791548763959,2011,-0.00538328984852809,0.00538328984852809,0.00643799550039187
demographic_level,55_64,TRUE,-0.574198297012215,-0.588518165877118,2011,-0.014319868864903,0.014319868864903,0.024938891214786
demographic_level,65p,TRUE,0.805797162420101,0.821131980107307,2011,0.0153348176872068,0.0153348176872068,0.0190306176322969
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2011,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2011,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0173577868051736,2011,0.00227362393324827,0.00227362393324827,0.150729208677529
