time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
97,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
98,276477,12643,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
99,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
100,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
101,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
102,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
103,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
104,263834,0,0,0.458636344122737,0.41690502900747,0.000660359049663252,0.00325399224987432
105,263834,7280,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
106,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
107,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
108,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
109,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
110,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
111,256554,0,0,0.44601199539411,0.404046787909248,0.000658842201785488,0.00326539941276109
112,256554,9497,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
113,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
114,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
115,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
116,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
117,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
118,247057,0,0,0.429541182655363,0.387337850356496,0.000656208227550202,0.00327488669005272
119,247057,6043,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
120,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
121,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
122,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
123,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
124,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
125,241014,0,0,0.419059521305873,0.376745225141559,0.000654141648783652,0.00327767054771054
126,241014,8634,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
127,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
128,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
129,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
130,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
131,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
132,232380,0,0,0.404082242277522,0.361665757532148,0.000650655748408798,0.00327713358549921
133,232380,4690,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
134,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
135,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
136,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
137,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
138,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
139,227690,0,0,0.395945848197375,0.353502321417901,0.000648496139880451,0.00327456553742482
140,227690,6043,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
141,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
142,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
143,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
144,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
145,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
146,221647,0,0,0.385461465531989,0.343013382364774,0.000645433403362751,0.00326884178374985
147,221647,4479,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
148,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
149,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
150,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
151,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
152,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
153,217168,0,0,0.377690018362996,0.335261008770095,0.000642957304668603,0.00326281326835328
154,217168,6719,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
155,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
156,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
157,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
158,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
159,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
160,210449,0,0,0.366031158664691,0.32366744446515,0.00063890940863064,0.00325085465908121
161,210449,4123,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
162,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
163,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
164,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
165,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
166,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
167,206326,0,0,0.358876407444627,0.316575019596725,0.000636224437971347,0.00324175192017346
168,206326,5155,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
169,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
170,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
171,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
172,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
173,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
174,201171,0,0,0.349930216075194,0.307731114861475,0.000632648216675778,0.0032284491744706
175,201171,4384,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
176,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
177,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
178,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
179,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
180,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
181,196787,0,0,0.342321541209859,0.30023115274457,0.000629412331553791,0.00321542590102942
182,196787,5939,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
183,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
184,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
185,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
186,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
187,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
188,190848,0,0,0.332013324259681,0.290102797268024,0.000624738155333236,0.00319522526135151
189,190848,4380,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
190,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
191,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
192,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
193,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
