year,log_real_gdp_per_capita,real_gdp_per_capita_growth,scenario_real_gdp,scenario_real_gdp_growth,scenario_nominal_gdp,scenario_nominal_gdp_growth,income_case,income_case_label
2053,-2.20582512329254,0.00514360226886312,4061796.05088205,0.0138805215339111,8443390.74426268,0.0392275345722588,midpoint_gdp,GDP PC model: 0.56% growth
2054,-2.20062044342974,0.00521824773763946,4118175.89843269,0.0138805215339173,8774604.14659038,0.039227534572265,midpoint_gdp,GDP PC model: 0.56% growth
2055,-2.19534276638317,0.00529162851706078,4175338.32767131,0.0138805215339086,9118810.23410862,0.0392275345722561,midpoint_gdp,GDP PC model: 0.56% growth
2056,-2.18999332372159,0.00536377647788133,4233294.20123992,0.0138805215339124,9476518.67782499,0.0392275345722601,midpoint_gdp,GDP PC model: 0.56% growth
2057,-2.18457331610681,0.00543472242885135,4292054.53255962,0.0138805215339131,9848259.14188405,0.0392275345722608,midpoint_gdp,GDP PC model: 0.56% growth
2058,-2.17908391431919,0.00550449616066651,4351630.48792355,0.0138805215339139,10234582.0678489,0.0392275345722617,midpoint_gdp,GDP PC model: 0.56% growth
2059,-2.17352626024114,0.00557312648762887,4412033.3886188,0.0138805215339113,10636059.4897481,0.039227534572259,midpoint_gdp,GDP PC model: 0.56% growth
2060,-2.16790146780036,0.00564064128733799,4473274.71307786,0.0138805215339122,11053285.8810948,0.0392275345722599,midpoint_gdp,GDP PC model: 0.56% growth
2061,-2.16221062387495,0.00570706753845118,4535366.09905984,0.0138805215339111,11486879.0351325,0.0392275345722588,midpoint_gdp,GDP PC model: 0.56% growth
2062,-2.15645478916217,0.00577243135662875,4598319.34586203,0.0138805215339164,11937480.9796105,0.0392275345722641,midpoint_gdp,GDP PC model: 0.56% growth
2063,-2.15063499901266,0.00583675802873085,4662146.41656208,0.0138805215339135,12405758.9274439,0.0392275345722612,midpoint_gdp,GDP PC model: 0.56% growth
2064,-2.14475226423158,0.00590007204550247,4726859.44029141,0.0138805215339088,12892406.2646653,0.0392275345722564,midpoint_gdp,GDP PC model: 0.56% growth
2065,-2.13880757184843,0.00596239713262525,4792470.71454016,0.0138805215339151,13398143.5771321,0.0392275345722628,midpoint_gdp,GDP PC model: 0.56% growth
2066,-2.13280188585694,0.00602375628031426,4858992.70749396,0.013880521533908,13923719.7175081,0.0392275345722555,midpoint_gdp,GDP PC model: 0.56% growth
2026,-2.30501578491299,0.014338755592868,2790379.19800234,0.0275887382749616,2952684.23941336,0.0635543441145852,pressure_gdp,GDP PC model: 0.10% growth
2027,-2.30490804347913,0.000107747238177192,2823892.61238131,0.0120103441148627,3077791.40298699,0.0423706544383087,pressure_gdp,GDP PC model: 0.10% growth
2028,-2.31748219091794,-0.0124954231559445,2821739.60302216,-0.000762426074457534,3160019.54697027,0.026716607208495,pressure_gdp,GDP PC model: 0.10% growth
2029,-2.31301491042279,0.00447727366788864,2868297.62734557,0.0164997593234844,3296478.2855628,0.043182878005726,pressure_gdp,GDP PC model: 0.10% growth
2030,-2.30019549428964,0.0129019370946386,2940267.67177003,0.0250915538674663,3463671.84923888,0.050718842714153,pressure_gdp,GDP PC model: 0.10% growth
2031,-2.30297840747725,-0.00277904447430188,2967452.62834601,0.00924574209245654,3583088.46749609,0.0344768856447679,pressure_gdp,GDP PC model: 0.10% growth
2032,-2.30580575360726,-0.00282335295119318,2994888.93001926,0.00924574209245099,3706622.19884502,0.0344768856447621,pressure_gdp,GDP PC model: 0.10% growth
2033,-2.30847034916058,-0.00266104866962458,3022578.90066178,0.00924574209245987,3834414.98852297,0.0344768856447713,pressure_gdp,GDP PC model: 0.10% growth
2034,-2.31093723526371,-0.00246384584011516,3050524.88563142,0.00924574209246187,3966613.67559688,0.0344768856447732,pressure_gdp,GDP PC model: 0.10% growth
2035,-2.3132212937972,-0.002281452056624,3078729.25197057,0.00924574209244988,4103370.16168738,0.034476885644761,pressure_gdp,GDP PC model: 0.10% growth
2036,-2.31532722833267,-0.00210371861113978,3107194.38860679,0.00924574209245854,4244841.58551004,0.0344768856447699,pressure_gdp,GDP PC model: 0.10% growth
2037,-2.31616970434504,-0.00084212122909344,3135922.70655497,0.00924574209245455,4391190.50343381,0.0344768856447659,pressure_gdp,GDP PC model: 0.10% growth
2038,-2.3169122663857,-0.000742286409696535,3164916.63912167,0.00924574209245854,4542585.0762651,0.0344768856447699,pressure_gdp,GDP PC model: 0.10% growth
2039,-2.31755688236812,-0.000644408262173268,3194178.64211112,0.00924574209246076,4699199.26247114,0.0344768856447721,pressure_gdp,GDP PC model: 0.10% growth
2040,-2.31810546263202,-0.000548429821258023,3223711.19403333,0.00924574209246143,4861213.01806536,0.0344768856447728,pressure_gdp,GDP PC model: 0.10% growth
