year,sample,spending_pp,0_14,65_74,75p,65p,unemployment,tot_z,rp_z,log_real_gdp_per_capita,age_0_14_pp,age_65_74_pp,age_75p_pp,age_65p_pp,relative_price,terms_of_trade,log_relative_price,log_terms_of_trade,covid_fy2020,d_covid_fy2020,covid_fy2021,d_covid_fy2021,covid_fy2022,d_covid_fy2022,dy,d_age_0_14_pp,d_age_65_74_pp,d_age_75p_pp,d_age_65p_pp,d_log_relative_price,d_log_real_gdp_per_capita,d_unemployment,d_log_terms_of_trade,d_unemployment_l1,d_log_terms_of_trade_l1,spending_lag_pp
2022,history,37.0772320697757,0.183102697476944,0.0940807582355797,0.0763110146728581,0.170391772908438,4.3048022,2.74628809014502,-0.683573278980883,-2.32184138612393,18.3102697476944,9.40807582355797,7.63110146728581,17.0391772908438,0.996807078497935,106.875,-0.00319802975231697,4.67165992725692,0,0,0,-1,1,1,-4.4821364747556,-0.178364968384901,-0.0420431778425101,0.284842041896801,0.242798864054301,-0.0414217372322905,0.0287581672923798,-1.93455591666667,0.115679985459603,0.610505166666671,0.0946801262289307,41.5593685445313
2023,history,34.3482881928863,0.179316016003348,0.0932465218765456,0.0778006777364165,0.171047199612962,3.5604815,2.73693079519578,-1.22717627745194,-2.31097550754981,17.9316016003348,9.32465218765456,7.78006777364165,17.1047199612962,0.980387560915466,106.725,-0.0198073151733925,4.67025543264403,0,0,0,0,0,-1,-2.7289438768894,-0.378668147359598,-0.083423635903408,0.148966306355839,0.0655426704524018,-0.0166092854210755,0.01086587857412,-0.7443207,-0.00140449461289727,-1.93455591666667,0.115679985459603,37.0772320697757
2024,history,35.4590643296671,0.17632248186255,0.0931563711582646,0.0795842553101045,0.172740626468369,3.87445154166667,2.32053116995445,-0.564069904318708,-2.31718112799746,17.632248186255,9.31563711582646,7.95842553101045,17.2740626468369,1.00041667551441,100.05,0.000416588729278212,4.60567006102974,0,0,0,0,0,0,1.1107761367808,-0.2993534140798,-0.00901507182810057,0.178357757368802,0.169342685540698,0.0202239039026707,-0.00620562044764972,0.31397004166667,-0.0645853716142835,-0.7443207,-0.00140449461289727,34.3482881928863
2025,history,36.4354044063882,0.173979771704246,0.0934652699975727,0.0818048195673714,0.175270089564944,4.09257875,2.06476510800846,-0.221730120587435,-2.31925271278414,17.3979771704246,9.34652699975727,8.18048195673714,17.5270089564944,1.01075704176325,95.9499999999999,0.0106995963838749,4.56382722245371,0,0,0,0,0,0,0.976340076721101,-0.234271015830402,0.0308898839308096,0.222056425726689,0.252946309657499,0.0102830076545967,-0.0020715847866799,0.218127208333331,-0.0418428385760343,0.31397004166667,-0.0645853716142835,35.4590643296671
2026,projection,,0.170915603985457,0.0942452550256152,0.0840957110222117,0.178340966047827,4.4,1.71265580686439,-0.190054389074944,-2.30260323850761,17.0915603985457,9.42452550256152,8.40957110222117,17.8340966047827,1.01171380659341,90.3055914975319,0.0116457310609807,4.50319937985176,0,0,0,0,0,0,,-0.306416771878901,0.0779985028042507,0.22908914548403,0.307087648288302,0.000946134677105718,0.0166494742765297,0.30742125,-0.0606278426019475,0.218127208333331,-0.0418428385760343,36.4354044063882
2027,projection,,0.168520311186168,0.0951011496364548,0.0863393229369078,0.181440472573363,4.6,1.36054650572033,-0.158378657562454,-2.30007125346224,16.8520311186168,9.51011496364548,8.63393229369078,18.1440472573363,1.01267057142357,84.661182995064,0.0125909714133442,4.43865720847807,0,0,0,0,0,0,,-0.239529279928899,0.0855894610839592,0.22436119146961,0.309950652553599,0.000945240352363494,0.00253198504537,0.199999999999999,-0.0645421713736907,0.30742125,-0.0606278426019475,
2028,projection,,0.166300639993855,0.0958070451696699,0.0885481950637026,0.184355240233373,4.7,1.00843720457626,-0.126702926049963,-2.31021526604776,16.6300639993855,9.58070451696699,8.85481950637026,18.4355240233373,1.01362733625373,79.016774492596,0.0135353191300727,4.36966016527638,0,0,0,0,0,0,,-0.221967119231302,0.0705895533215095,0.220887212679479,0.291476766000997,0.000944347716728581,-0.0101440125855201,0.100000000000001,-0.0689970432016915,0.199999999999999,-0.0645421713736907,
2029,projection,,0.164430352232462,0.0962886035944341,0.090637151226379,0.186925754820813,4.65,0.656327903432197,-0.0950271945374722,-2.30331489432796,16.4430352232462,9.62886035944341,9.0637151226379,18.6925754820813,1.01458410108389,73.3723659901281,0.0144787758954931,4.29554737958402,0,0,0,0,0,0,,-0.1870287761393,0.0481558424764206,0.208895616267641,0.257051458744002,0.000943456765420394,0.00690037171980018,-0.0499999999999998,-0.0741127856923534,0.100000000000001,-0.0689970432016915,
2030,projection,,0.163102360862525,0.0962379613057189,0.0927128611608284,0.188950822466547,4.6,0.304218602288131,-0.0633514630249814,-2.28805942339694,16.3102360862525,9.62379613057189,9.27128611608284,18.8950822466547,1.01554086591405,67.7279574876601,0.0154213433891686,4.21549905608613,0,0,0,0,0,0,,-0.1327991369937,-0.00506422887151992,0.207570993444939,0.202506764573403,0.000942567493675502,0.0152554709310202,-0.0500000000000007,-0.0800483234978913,-0.0499999999999998,-0.0741127856923534,
2031,projection,,0.161957407819121,0.0958121955656163,0.0947612021747479,0.190573397740364,4.55,-0.0478906988559342,-0.0316757315124907,-2.28167872157361,16.1957407819121,9.58121955656163,9.47612021747479,19.0573397740364,1.01649763074421,62.0835489851922,0.0163630232859184,4.12848104217252,0,0,0,0,0,0,,-0.114495304340398,-0.0425765740102584,0.204834101391951,0.162257527381698,0.000941679896749724,0.00638070182332973,-0.0499999999999998,-0.0870180139136183,-0.0500000000000007,-0.0800483234978913,
2032,projection,,0.161351949543193,0.0952455442578755,0.0967133181341632,0.191958862392039,4.5,-0.4,0,-2.27534245269268,16.1351949543193,9.52455442578755,9.67133181341632,19.1958862392039,1.01745439557437,56.4391404827243,0.0173038172558342,4.03316289800126,0,0,0,0,0,0,,-0.0605458275927973,-0.056665130774082,0.195211595941529,0.138546465167501,0.000940793969915865,0.00633626888093009,-0.0499999999999998,-0.0953181441712569,-0.0499999999999998,-0.0870180139136183,
2033,projection,,0.161000782786589,0.0946941540971313,0.098647555271969,0.1933417093691,4.5,-0.4,0,-2.26884343323506,16.1000782786589,9.46941540971313,9.8647555271969,19.33417093691,1.01745439557437,56.4391404827243,0.0173038172558342,4.03316289800126,0,0,0,0,0,0,,-0.0351166756604044,-0.0551390160744187,0.193423713780581,0.138284697706098,0,0.00649901945761977,0,0,-0.0499999999999998,-0.0953181441712569,
2034,projection,,0.160764732080452,0.094388692211917,0.100523063219456,0.194911755431373,4.5,-0.4,0,-2.26214670432726,16.0764732080452,9.4388692211917,10.0523063219456,19.4911755431373,1.01745439557437,56.4391404827243,0.0173038172558342,4.03316289800126,0,0,0,0,0,0,,-0.0236050706136979,-0.0305461885214307,0.187550794748701,0.157004606227304,0,0.00669672890780015,0,0,0,0,
