"nominal_return","annual_real_return","treatment","final_wealth"
0.056,0.0302439024390244,"Full nominal gain taxed",1432284.55025725
0.057,0.031219512195122,"No capital gains tax",1740803.98852817
0.057,0.031219512195122,"50% discount",1607985.09110933
0.057,0.031219512195122,"Inflation indexation",1567342.23857886
0.057,0.031219512195122,"Full nominal gain taxed",1441304.1936905
0.058,0.0321951219512198,"No capital gains tax",1757343.57128662
0.058,0.0321951219512198,"50% discount",1620803.26774713
0.058,0.0321951219512198,"Inflation indexation",1576439.009096
0.058,0.0321951219512198,"Full nominal gain taxed",1450400.96420764
0.059,0.0331707317073171,"No capital gains tax",1774024.4499781
0.059,0.0331707317073171,"50% discount",1633730.94873303
0.059,0.0331707317073171,"Inflation indexation",1585613.49237632
0.059,0.0331707317073171,"Full nominal gain taxed",1459575.44748796
0.06,0.0341463414634149,"No capital gains tax",1790847.69654285
0.06,0.0341463414634149,"50% discount",1646768.96482071
0.06,0.0341463414634149,"Inflation indexation",1594866.27798693
0.06,0.0341463414634149,"Full nominal gain taxed",1468828.23309857
0.061,0.0351219512195122,"No capital gains tax",1807814.39003009
0.061,0.0351219512195122,"50% discount",1659918.15227332
0.061,0.0351219512195122,"Inflation indexation",1604197.95940491
0.061,0.0351219512195122,"Full nominal gain taxed",1478159.91451655
0.062,0.03609756097561,"No capital gains tax",1824925.61663841
0.062,0.03609756097561,"50% discount",1673179.35289476
0.062,0.03609756097561,"Inflation indexation",1613609.13403948
0.062,0.03609756097561,"Full nominal gain taxed",1487571.08915112
0.063,0.0370731707317074,"No capital gains tax",1842182.46975631
0.063,0.0370731707317074,"50% discount",1686553.41406114
0.063,0.0370731707317074,"Inflation indexation",1623100.40325433
0.063,0.0370731707317074,"Full nominal gain taxed",1497062.35836597
0.064,0.0380487804878051,"No capital gains tax",1859586.05000302
0.064,0.0380487804878051,"50% discount",1700041.18875234
0.064,0.0380487804878051,"Inflation indexation",1632672.37239002
0.064,0.0380487804878051,"Full nominal gain taxed",1506634.32750166
0.065,0.0390243902439025,"No capital gains tax",1877137.46526936
0.065,0.0390243902439025,"50% discount",1713643.53558375
0.065,0.0390243902439025,"Inflation indexation",1642325.65078651
0.065,0.0390243902439025,"Full nominal gain taxed",1516287.60589815
0.066,0.0400000000000003,"No capital gains tax",1894837.83075896
0.066,0.0400000000000003,"50% discount",1727361.3188382
0.066,0.0400000000000003,"Inflation indexation",1652060.85180579
0.066,0.0400000000000003,"Full nominal gain taxed",1526022.80691743
0.067,0.0409756097560976,"No capital gains tax",1912688.26902954
0.067,0.0409756097560976,"50% discount",1741195.4084979
0.067,0.0409756097560976,"Inflation indexation",1661878.59285461
0.067,0.0409756097560976,"Full nominal gain taxed",1535840.54796625
0.068,0.0419512195121954,"No capital gains tax",1930689.91003448
0.068,0.0419512195121954,"50% discount",1755146.68027672
0.068,0.0419512195121954,"Inflation indexation",1671779.49540732
0.068,0.0419512195121954,"Full nominal gain taxed",1545741.45051896
0.069,0.0429268292682927,"No capital gains tax",1948843.89116448
0.069,0.0429268292682927,"50% discount",1769216.01565247
0.069,0.0429268292682927,"Inflation indexation",1681764.18502882
0.069,0.0429268292682927,"Full nominal gain taxed",1555726.14014046
0.07,0.0439024390243905,"No capital gains tax",1967151.35728957
0.07,0.0439024390243905,"50% discount",1783404.30189941
0.07,0.0439024390243905,"Inflation indexation",1691833.29139762
0.07,0.0439024390243905,"Full nominal gain taxed",1565795.24650926
0.071,0.0448780487804878,"No capital gains tax",1985613.46080114
0.071,0.0448780487804878,"50% discount",1797712.43212089
0.071,0.0448780487804878,"Inflation indexation",1701987.44832899
0.071,0.0448780487804878,"Full nominal gain taxed",1575949.40344063
0.072,0.0458536585365856,"No capital gains tax",2004231.36165434
0.072,0.0458536585365856,"50% discount",1812141.30528211
0.072,0.0458536585365856,"Inflation indexation",1712227.29379825
0.072,0.0458536585365856,"Full nominal gain taxed",1586189.24890989
0.073,0.046829268292683,"No capital gains tax",2023006.2274105
0.073,0.046829268292683,"50% discount",1826691.82624313
0.073,0.046829268292683,"Inflation indexation",1722553.46996413
0.073,0.046829268292683,"Full nominal gain taxed",1596515.42507577
0.074,0.0478048780487808,"No capital gains tax",2041939.23327991
0.074,0.0478048780487808,"50% discount",1841364.90579193
0.074,0.0478048780487808,"Inflation indexation",1732966.62319231
0.074,0.0478048780487808,"Full nominal gain taxed",1606928.57830395
0.075,0.0487804878048781,"No capital gains tax",2061031.56216471
0.075,0.0487804878048781,"50% discount",1856161.46067765
0.075,0.0487804878048781,"Inflation indexation",1743467.40407895
0.075,0.0487804878048781,"Full nominal gain taxed",1617429.35919059
