"nominal_return","annual_real_return","treatment","tax_paid"
0.045,0.0195121951219512,"50% discount",90556.1198899016
0.045,0.0195121951219512,"Inflation indexation",88936.1948914427
0.045,0.0195121951219512,"Full nominal gain taxed",214974.239779803
0.046,0.0204878048780488,"50% discount",93914.269529411
0.046,0.0204878048780488,"Inflation indexation",95652.4941704615
0.046,0.0204878048780488,"Full nominal gain taxed",221690.539058822
0.047,0.0214634146341464,"50% discount",97301.4380295144
0.047,0.0214634146341464,"Inflation indexation",102426.831170668
0.047,0.0214634146341464,"Full nominal gain taxed",228464.876059029
0.048,0.0224390243902439,"50% discount",100717.848075604
0.048,0.0224390243902439,"Inflation indexation",109259.651262847
0.048,0.0224390243902439,"Full nominal gain taxed",235297.696151207
0.049,0.0234146341463415,"50% discount",104163.723846877
0.049,0.0234146341463415,"Inflation indexation",116151.402805393
0.049,0.0234146341463415,"Full nominal gain taxed",242189.447693753
0.05,0.024390243902439,"50% discount",107639.291024924
0.05,0.024390243902439,"Inflation indexation",123102.537161488
0.05,0.024390243902439,"Full nominal gain taxed",249140.582049849
0.051,0.0253658536585366,"50% discount",111144.776802347
0.051,0.0253658536585366,"Inflation indexation",130113.508716335
0.051,0.0253658536585366,"Full nominal gain taxed",256151.553604695
0.052,0.0263414634146342,"50% discount",114680.409891424
0.052,0.0263414634146342,"Inflation indexation",137184.774894488
0.052,0.0263414634146342,"Full nominal gain taxed",263222.819782848
0.053,0.0273170731707317,"50% discount",118246.42053281
0.053,0.0273170731707317,"Inflation indexation",144316.79617726
0.053,0.0273170731707317,"Full nominal gain taxed",270354.84106562
0.054,0.0282926829268293,"50% discount",121843.04050429
0.054,0.0282926829268293,"Inflation indexation",151510.036120219
0.054,0.0282926829268293,"Full nominal gain taxed",277548.08100858
0.055,0.0292682926829269,"50% discount",125470.503129558
0.055,0.0292682926829269,"Inflation indexation",158764.961370756
0.055,0.0292682926829269,"Full nominal gain taxed",284803.006259117
0.056,0.0302439024390244,"50% discount",129129.043287057
0.056,0.0302439024390244,"Inflation indexation",166082.041685754
0.056,0.0302439024390244,"Full nominal gain taxed",292120.086574114
0.057,0.031219512195122,"50% discount",132818.897418839
0.057,0.031219512195122,"Inflation indexation",173461.749949317
0.057,0.031219512195122,"Full nominal gain taxed",299499.794837678
0.058,0.0321951219512198,"50% discount",136540.303539489
0.058,0.0321951219512198,"Inflation indexation",180904.562190617
0.058,0.0321951219512198,"Full nominal gain taxed",306942.607078978
0.059,0.0331707317073171,"50% discount",140293.501245073
0.059,0.0331707317073171,"Inflation indexation",188410.957601785
0.059,0.0331707317073171,"Full nominal gain taxed",314449.002490145
0.06,0.0341463414634149,"50% discount",144078.731722142
0.06,0.0341463414634149,"Inflation indexation",195981.418555924
0.06,0.0341463414634149,"Full nominal gain taxed",322019.463444285
0.061,0.0351219512195122,"50% discount",147896.237756771
0.061,0.0351219512195122,"Inflation indexation",203616.430625181
0.061,0.0351219512195122,"Full nominal gain taxed",329654.475513541
0.062,0.03609756097561,"50% discount",151746.263743641
0.062,0.03609756097561,"Inflation indexation",211316.482598922
0.062,0.03609756097561,"Full nominal gain taxed",337354.527487282
0.063,0.0370731707317074,"50% discount",155629.055695169
0.063,0.0370731707317074,"Inflation indexation",219082.066501978
0.063,0.0370731707317074,"Full nominal gain taxed",345120.111390339
0.064,0.0380487804878051,"50% discount",159544.861250679
0.064,0.0380487804878051,"Inflation indexation",226913.677612997
