"nominal_return","annual_real_return","treatment","tax_paid"
0.044,0.0185365853658537,"Full nominal gain taxed",161451.690547822
0.045,0.0195121951219512,"50% discount",82945.4132599344
0.045,0.0195121951219512,"Inflation indexation",81865.4632609618
0.045,0.0195121951219512,"Full nominal gain taxed",165890.826519869
0.046,0.0204878048780488,"50% discount",85184.179686274
0.046,0.0204878048780488,"Inflation indexation",86342.996113641
0.046,0.0204878048780488,"Full nominal gain taxed",170368.359372548
0.047,0.0214634146341464,"50% discount",87442.2920196763
0.047,0.0214634146341464,"Inflation indexation",90859.2207804456
0.047,0.0214634146341464,"Full nominal gain taxed",174884.584039353
0.048,0.0224390243902439,"50% discount",89719.8987170691
0.048,0.0224390243902439,"Inflation indexation",95414.4341752311
0.048,0.0224390243902439,"Full nominal gain taxed",179439.797434138
0.049,0.0234146341463415,"50% discount",92017.1492312511
0.049,0.0234146341463415,"Inflation indexation",100008.935203595
0.049,0.0234146341463415,"Full nominal gain taxed",184034.298462502
0.05,0.024390243902439,"50% discount",94334.1940166163
0.05,0.024390243902439,"Inflation indexation",104643.024774326
0.05,0.024390243902439,"Full nominal gain taxed",188668.388033233
0.051,0.0253658536585366,"50% discount",96671.1845348983
0.051,0.0253658536585366,"Inflation indexation",109317.00581089
0.051,0.0253658536585366,"Full nominal gain taxed",193342.369069797
0.052,0.0263414634146342,"50% discount",99028.2732609495
0.052,0.0263414634146342,"Inflation indexation",114031.183262992
0.052,0.0263414634146342,"Full nominal gain taxed",198056.546521899
0.053,0.0273170731707317,"50% discount",101405.61368854
0.053,0.0273170731707317,"Inflation indexation",118785.864118173
0.053,0.0273170731707317,"Full nominal gain taxed",202811.22737708
0.054,0.0282926829268293,"50% discount",103803.360336193
0.054,0.0282926829268293,"Inflation indexation",123581.357413479
0.054,0.0282926829268293,"Full nominal gain taxed",207606.720672386
0.055,0.0292682926829269,"50% discount",106221.668753039
0.055,0.0292682926829269,"Inflation indexation",128417.974247171
0.055,0.0292682926829269,"Full nominal gain taxed",212443.337506078
0.056,0.0302439024390244,"50% discount",108660.695524705
0.056,0.0302439024390244,"Inflation indexation",133296.027790502
0.056,0.0302439024390244,"Full nominal gain taxed",217321.391049409
0.057,0.031219512195122,"50% discount",111120.598279226
0.057,0.031219512195122,"Inflation indexation",138215.833299545
0.057,0.031219512195122,"Full nominal gain taxed",222241.196558452
0.058,0.0321951219512198,"50% discount",113601.535692993
0.058,0.0321951219512198,"Inflation indexation",143177.708127078
0.058,0.0321951219512198,"Full nominal gain taxed",227203.071385985
0.059,0.0331707317073171,"50% discount",116103.667496715
0.059,0.0331707317073171,"Inflation indexation",148181.971734523
0.059,0.0331707317073171,"Full nominal gain taxed",232207.33499343
0.06,0.0341463414634149,"50% discount",118627.154481428
0.06,0.0341463414634149,"Inflation indexation",153228.945703949
0.06,0.0341463414634149,"Full nominal gain taxed",237254.308962856
0.061,0.0351219512195122,"50% discount",121172.158504514
0.061,0.0351219512195122,"Inflation indexation",158318.95375012
0.061,0.0351219512195122,"Full nominal gain taxed",242344.317009027
0.062,0.03609756097561,"50% discount",123738.842495761
0.062,0.03609756097561,"Inflation indexation",163452.321732615
0.062,0.03609756097561,"Full nominal gain taxed",247477.684991522
0.063,0.0370731707317074,"50% discount",126327.370463446
0.063,0.0370731707317074,"Inflation indexation",168629.377667986
0.063,0.0370731707317074,"Full nominal gain taxed",252654.740926893
0.064,0.0380487804878051,"50% discount",128937.907500452
