percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.069,FY2034_35,6.9,2034,0,High inflation,0,0
0.069,FY2034_35,6.9,2034,0,No policy change,0,0
0.069,FY2034_35,6.9,2034,0,Indexed brackets,0,0
0.07,FY2034_35,7.000000000000001,2034,0,Baseline,0,0
0.07,FY2034_35,7.000000000000001,2034,0,High inflation,0,0
0.07,FY2034_35,7.000000000000001,2034,0,No policy change,0,0
0.07,FY2034_35,7.000000000000001,2034,0,Indexed brackets,0,0
0.071,FY2034_35,7.1,2034,0,Baseline,0,0
0.071,FY2034_35,7.1,2034,0,High inflation,0,0
0.071,FY2034_35,7.1,2034,0,No policy change,0,0
0.071,FY2034_35,7.1,2034,0,Indexed brackets,0,0
0.072,FY2034_35,7.199999999999999,2034,0,Baseline,0,0
0.072,FY2034_35,7.199999999999999,2034,0,High inflation,0,0
0.072,FY2034_35,7.199999999999999,2034,0,No policy change,0,0
0.072,FY2034_35,7.199999999999999,2034,0,Indexed brackets,0,0
0.073,FY2034_35,7.3,2034,0,Baseline,0,0
0.073,FY2034_35,7.3,2034,0,High inflation,0,0
0.073,FY2034_35,7.3,2034,0,No policy change,0,0
0.073,FY2034_35,7.3,2034,0,Indexed brackets,0,0
0.074,FY2034_35,7.3999999999999995,2034,0,Baseline,0,0
0.074,FY2034_35,7.3999999999999995,2034,0,High inflation,0,0
0.074,FY2034_35,7.3999999999999995,2034,0,No policy change,0,0
0.074,FY2034_35,7.3999999999999995,2034,0,Indexed brackets,0,0
0.075,FY2034_35,7.5,2034,0,Baseline,0,0
0.075,FY2034_35,7.5,2034,0,High inflation,0,0
0.075,FY2034_35,7.5,2034,0,No policy change,0,0
0.075,FY2034_35,7.5,2034,0,Indexed brackets,0,0
0.076,FY2034_35,7.6,2034,0,Baseline,0,0
0.076,FY2034_35,7.6,2034,0,High inflation,0,0
0.076,FY2034_35,7.6,2034,0,No policy change,0,0
0.076,FY2034_35,7.6,2034,0,Indexed brackets,0,0
0.077,FY2034_35,7.7,2034,0,Baseline,0,0
0.077,FY2034_35,7.7,2034,0,High inflation,0,0
0.077,FY2034_35,7.7,2034,0,No policy change,0,0
0.077,FY2034_35,7.7,2034,0,Indexed brackets,0,0
0.078,FY2034_35,7.8,2034,0,Baseline,0,0
0.078,FY2034_35,7.8,2034,0,High inflation,0,0
0.078,FY2034_35,7.8,2034,0,No policy change,0,0
0.078,FY2034_35,7.8,2034,0,Indexed brackets,0,0
0.079,FY2034_35,7.9,2034,0,Baseline,0,0
0.079,FY2034_35,7.9,2034,0,High inflation,0,0
0.079,FY2034_35,7.9,2034,0,No policy change,0,0
0.079,FY2034_35,7.9,2034,0,Indexed brackets,0,0
0.08,FY2034_35,8,2034,0,Baseline,0,0
0.08,FY2034_35,8,2034,0,High inflation,0,0
0.08,FY2034_35,8,2034,0,No policy change,0,0
0.08,FY2034_35,8,2034,0,Indexed brackets,0,0
0.081,FY2034_35,8.1,2034,0,Baseline,0,0
0.081,FY2034_35,8.1,2034,0,High inflation,0,0
0.081,FY2034_35,8.1,2034,0,No policy change,0,0
0.081,FY2034_35,8.1,2034,0,Indexed brackets,0,0
