AGE_FY_START,YOB_group,p10,p25,median,p75,p90,total_tax,total_income,mean_income,mean_post_tax
17,Zoomers: 1997-98,0,0,0,0,0.0313966364976449,86535477.63,2637677780.52211,15070.3776654751,14575.9570281339
34,"Early Millenials, 1981-1982",0,0.0649268541550207,0.151479202709903,0.199361104175416,0.233535296384567,9132560547.40914,48538280372.9732,80325.0854712575,65211.7831271032
25,"Late Millenials, 1990-1991 ",0,0.0271104392165884,0.106386196287598,0.159427723071985,0.189293610861814,4629362446.3337,32687975990.0777,54782.0831721572,47023.6915652222
59,"Late Boomers, 1956-1957",0,0.0403874847868791,0.127418423580185,0.18771207217832,0.227737889329281,7616108955.08336,39953234189.7817,87486.2796482914,70809.1557210702
41,"Late Gen X, 1974-1975",0,0.0720272076497196,0.160144475593515,0.209193646208044,0.245577294109543,10561692752.3529,50687891972.0474,94215.7628319202,74584.2906845276
18,Zoomers: 1997-98,0,0,0,0.00654653969480275,0.0772602461675891,509460151.705842,7580951138.87283,22732.4419582016,21204.7611808801
50,"Early Gen X, 1965-1966",0,0.0745560346302818,0.156201708398403,0.205562412127983,0.244009770786759,10600719602.0078,50102422388.7134,98835.9666394701,77924.1560126361
35,"Early Millenials, 1981-1982",0,0.0716426001177629,0.159753777750726,0.205780284598556,0.240460207540366,9743922795.2958,49984392539.8923,83204.5632641892,66984.723440878
19,Zoomers: 1997-98,0,0,0,0.0650869538468575,0.108991692017296,957549550.197847,12234714176.1821,29526.8455039763,27215.9277968724
60,"Late Boomers, 1956-1957",0,0.0349974321706475,0.127842403114106,0.190606703229661,0.231536806453626,7461088252.79794,38008203698.0144,87277.0694506966,70144.4019142079
42,"Late Gen X, 1974-1975",0,0.0787673493969499,0.167427364285091,0.215015974171107,0.251160201717523,11040486800.7531,51450923019.1636,97162.0925811863,76312.7717579897
26,"Late Millenials, 1990-1991 ",0,0.0508983429589752,0.125828857469139,0.17431031624308,0.200689433303012,5441680147.4602,35241916696.3375,59326.9296555177,50166.2992023577
51,"Early Gen X, 1965-1966",0,0.0793118491558358,0.162259153350183,0.209905753945982,0.248601021125141,10878768322.6775,50412140612.551,101952.075079633,79951.1643598962
36,"Early Millenials, 1981-1982",0,0.0758216790988128,0.161387707042954,0.20988674349964,0.248388225325503,10476901929.5065,52173551705.7831,86476.1211640467,69110.9656195487
20,Zoomers: 1997-98,0,0,0.0359854088751652,0.0852359684782456,0.131161012113385,1453296735.74892,16040389670.2085,34766.1893372012,31616.2914533596
61,"Late Boomers, 1956-1957",0,0.0242388125748711,0.118813938809377,0.188167943265259,0.234132430196645,7103488697.91975,35998372626.1053,86790.9584472042,69664.6678002695
43,"Late Gen X, 1974-1975",0,0.0831138235448104,0.169063664848531,0.219304518963554,0.25779056479543,11741794236.8293,53088054475.8298,101121.066821265,78755.5314603006
27,"Late Millenials, 1990-1991 ",0,0.0607478638272387,0.132781307721453,0.181003808871055,0.207756035489088,6204737182.97188,38349457388.0587,63357.5820158713,53106.6639656077
52,"Early Gen X, 1965-1966",0,0.0812422398675032,0.161930955346206,0.212449328809486,0.254460431727041,11209210144.8778,50804043328.7307,104763.565242567,81648.9322057426
37,"Early Millenials, 1981-1982",0,0.0778650991917711,0.161816668018563,0.21381702840454,0.255281705108095,11382161820.7743,55665646695.1826,90247.3471579389,71794.136421484
21,Zoomers: 1997-98,0,0,0.0603960276262215,0.104556413595463,0.144208942622093,1967679704.86276,19547517318.1398,39360.9572635522,35398.8297201434
62,"Late Boomers, 1956-1957",0,0.0128803662644989,0.110102255743765,0.18319929938376,0.235577007970562,6740744184.94848,35102035240.7603,87347.61149428,70573.9999298568
44,"Late Gen X, 1974-1975",0,0.085763986173944,0.168923370636646,0.222848597055322,0.26333361784877,12328129802.6232,54582440926.4159,102957.181548544,79703.0090216349
28,"Late Millenials, 1990-1991 ",0,0.0637904971119131,0.134736529994538,0.184743494054521,0.217086029001453,7028643868.45794,42063311973.8985,66901.8150402692,55722.7373593846
53,"Early Gen X, 1965-1966",0,0.0812187937855541,0.159467974404635,0.213692119047111,0.258989324814468,11274934198.9721,50875077193.2884,105413.920611345,82052.0883720931
38,"Early Millenials, 1981-1982",0,0.0802033686781291,0.164163966918497,0.218308118271238,0.257359099491354,12369410777.6884,59367217855.0043,94911.0123276659,75135.9017325483
22,Zoomers: 1997-98,0,0.00947406783454654,0.0772726869238877,0.118195461399292,0.161710061248149,2670841724.17435,23944024271.0328,45349.6473796378,40291.1104759368
63,"Late Boomers, 1956-1957",0,0.00627530087020592,0.099023910297525,0.179617333393623,0.232419408699172,6387958078.48192,33083775082.4712,85265.2639944104,68801.8788278376
29,"Late Millenials, 1990-1991 ",0,0.0669641269012763,0.138559319518808,0.190304341446207,0.225101046600253,7860814335.83241,45610964973.8618,70658.5857022981,58480.9432481959
