year,male,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2005,0,3,42.5,22906,41.13347,18055,40.87518,13330,41.41968
2005,0,3,45,22908,43.48987,18053,42.96935,13330,42.67198
2005,0,3,47.5,22908,45.91074,18054,44.72567,13329,44.39394
2005,0,3,50,22905,48.15531,18055,46.54909,13330,45.77419
2005,0,3,52.5,22904,50.43435,18054,48.43261,13328,47.61208
2005,0,3,55,22909,52.74475,18054,50.72609,13329,49.48601
2005,0,3,57.5,22906,55.25203,18053,52.79715,13330,51.76265
2005,0,3,60,22906,57.64743,18055,55.00667,13329,53.4296
2005,0,3,62.5,22907,60.07754,18055,57.21738,13329,55.33601
2005,0,3,65,22906,62.58388,18053,59.43716,13330,57.30881
2005,0,3,67.5,22908,65.02441,18054,61.56437,13331,59.38148
2005,0,3,70,22904,67.57602,18054,64.02732,13330,61.72657
2005,0,3,72.5,22907,70.08497,18053,66.32239,13329,64.1072
2005,0,3,75,22909,72.54841,18054,68.68375,13329,66.05305
2005,0,3,77.5,22904,75.09271,18055,71.07893,13329,68.73009
2005,0,3,80,22906,77.62183,18054,73.44305,13329,70.8736
2005,0,3,82.5,22908,80.21642,18053,75.86417,13330,73.10621
2005,0,3,85,22905,82.69122,18056,78.44321,13329,75.3617
2005,0,3,87.5,22910,85.36905,18053,81.15705,13329,78.31307
2005,0,3,90,22904,87.84229,18054,83.50087,13330,80.74683
2005,0,3,92.5,22908,90.39169,18054,86.13673,13330,82.85264
2005,0,3,95,22906,92.69742,18054,88.17796,13328,85.03992
2005,0,3,97.5,22897,95.33637,18046,90.88199,13324,87.86587
2005,0,3,99,13742,97.55843,10833,93.03329,7999,90.15924
2005,0,3,99.9,8248,99.13339,6499,95.49153,4798,92.89077
2005,0,3,100,921,99.88473,726,97.41503,536,94.06299
2005,1,1,2.5,20568,4.202091,19417,18.02308,18509,24.97829
2005,1,1,5,20573,6.975413,19421,20.0388,18510,26.03577
2005,1,1,7.5,20572,9.590766,19420,22.25388,18511,27.60551
2005,1,1,10,20572,11.83419,19421,23.68651,18511,28.36825
2005,1,1,12.5,20572,14.3986,19420,25.39212,18510,29.65664
2005,1,1,15,20573,16.97608,19421,26.80122,18512,30.50439
2005,1,1,17.5,20572,19.41715,19422,28.053,18512,31.22298
2005,1,1,20,20573,21.83564,19420,29.46589,18512,32.36198
2005,1,1,22.5,20571,24.32261,19421,30.44758,18511,32.8251
2005,1,1,25,20572,26.37034,19418,31.5796,18510,33.64441
2005,1,1,27.5,20573,28.59791,19422,32.87921,18511,34.46642
2005,1,1,30,20574,30.80738,19420,33.88965,18513,35.19477
2005,1,1,32.5,20570,32.71025,19420,35.19854,18510,36.74022
2005,1,1,35,20571,34.8358,19423,36.80077,18512,37.79571
2005,1,1,37.5,20574,36.93843,19420,37.88824,18511,38.78435
2005,1,1,40,20572,39.07215,19420,39.92104,18512,40.56258
2005,1,1,42.5,20571,41.37009,19421,41.49028,18510,41.71474
2005,1,1,45,20573,43.57191,19421,42.91786,18512,43.08408
2005,1,1,47.5,20571,45.76887,19419,44.97227,18510,44.49958
2005,1,1,50,20573,47.94046,19420,46.0466,18512,45.76559
2005,1,1,52.5,20573,50.25373,19423,48.24038,18512,47.55423
